facilityType,program,orderable,maxPeriodsOfStock,minPeriodsOfStock,emergencyOrderPoint
HSP,EM,EM0001,6,3,1
HSP,EM,EM0002,6,3,1
HSP,EM,EM0003,6,3,1
HSP,EM,EM0004,6,3,1
HSP,EM,EM0005,6,3,1
HSP,EM,EM0006,6,3,1
HSP,EM,EM0007,6,3,1
HSP,EM,EM0008,6,3,1
HSP,EM,EM0009,6,3,1
HSP,EM,EM0010,6,3,1
HSP,EM,EM0011,6,3,1
HSP,EM,EM0012,6,3,1
HSP,EM,EM0013,6,3,1
HSP,EM,EM0014,6,3,1
HSP,EM,EM0015,6,3,1
HSP,EM,EM0016,6,3,1
HSP,EM,EM0017,6,3,1
HSP,EM,EM0018,6,3,1
HSP,EM,EM0019,6,3,1
HSP,EM,EM0020,6,3,1
HSP,EM,EM0021,6,3,1
HSP,EM,EM0022,6,3,1
HSP,EM,EM0023,6,3,1
HSP,EM,EM0024,6,3,1
HSP,EM,EM0025,6,3,1
HSP,EM,EM0026,6,3,1
HSP,EM,EM0027,6,3,1
HSP,EM,EM0028,6,3,1
HSP,EM,EM0029,6,3,1
HSP,EM,EM0030,6,3,1
HSP,EM,EM0031,6,3,1
HSP,EM,EM0032,6,3,1
HSP,EM,EM0033,6,3,1
HSP,EM,EM0034,6,3,1
HSP,EM,EM0035,6,3,1
HSP,EM,EM0036,6,3,1
HSP,EM,EM0037,6,3,1
HSP,EM,EM0038,6,3,1
HSP,EM,EM0039,6,3,1
HSP,EM,EM0040,6,3,1
HSP,EM,EM0041,6,3,1
HSP,EM,EM0042,6,3,1
HSP,EM,EM0043,6,3,1
HSP,EM,EM0044,6,3,1
HSP,EM,EM0045,6,3,1
HSP,EM,EM0046,6,3,1
HSP,EM,EM0047,6,3,1
HSP,EM,EM0048,6,3,1
HSP,EM,EM0049,6,3,1
HSP,EM,EM0050,6,3,1
HSP,EM,EM0051,6,3,1
HSP,EM,EM0052,6,3,1
HSP,EM,EM0053,6,3,1
HSP,EM,EM0054,6,3,1
HSP,EM,EM0055,6,3,1
HSP,EM,EM0056,6,3,1
HSP,EM,EM0057,6,3,1
HSP,EM,EM0058,6,3,1
HSP,EM,EM0059,6,3,1
HSP,EM,EM0060,6,3,1
HSP,EM,EM0061,6,3,1
HSP,EM,EM0062,6,3,1
HSP,EM,EM0063,6,3,1
HSP,EM,EM0064,6,3,1
HSP,EM,EM0065,6,3,1
HSP,EM,EM0066,6,3,1
HSP,EM,EM0067,6,3,1
HSP,EM,EM0068,6,3,1
HSP,EM,EM0069,6,3,1
HSP,EM,EM0070,6,3,1
HSP,EM,EM0071,6,3,1
HSP,EM,EM0072,6,3,1
HSP,EM,EM0073,6,3,1
HSP,EM,EM0074,6,3,1
HSP,EM,EM0075,6,3,1
HSP,EM,EM0076,6,3,1
HSP,EM,EM0077,6,3,1
HSP,EM,EM0078,6,3,1
HSP,EM,EM0079,6,3,1
HSP,EM,EM0080,6,3,1
HSP,EM,EM0081,6,3,1
HSP,EM,EM0082,6,3,1
HSP,EM,EM0083,6,3,1
HSP,EM,EM0084,6,3,1
HSP,EM,EM0085,6,3,1
HSP,EM,EM0086,6,3,1
HSP,EM,EM0087,6,3,1
HSP,EM,EM0088,6,3,1
HSP,EM,EM0089,6,3,1
HSP,EM,EM0090,6,3,1
HSP,EM,EM0091,6,3,1
HSP,EM,EM0092,6,3,1
HSP,EM,EM0093,6,3,1
HSP,EM,EM0094,6,3,1
HSP,EM,EM0095,6,3,1
HSP,EM,EM0096,6,3,1
HSP,EM,EM0097,6,3,1
HSP,EM,EM0098,6,3,1
HSP,EM,EM0099,6,3,1
HSP,EM,EM0100,6,3,1
HSP,EM,EM0101,6,3,1
HSP,EM,EM0102,6,3,1
HSP,EM,EM0103,6,3,1
HSP,EM,EM0104,6,3,1
HSP,EM,EM0105,6,3,1
HSP,EM,EM0106,6,3,1
HSP,EM,EM0107,6,3,1
HSP,EM,EM0108,6,3,1
HSP,EM,EM0109,6,3,1
HSP,EM,EM0110,6,3,1
HSP,EM,EM0111,6,3,1
HSP,EM,EM0112,6,3,1
HSP,EM,EM0113,6,3,1
HSP,EM,EM0114,6,3,1
HSP,EM,EM0115,6,3,1
HSP,EM,EM0116,6,3,1
HSP,EM,EM0117,6,3,1
HSP,EM,EM0118,6,3,1
HSP,EM,EM0119,6,3,1
HSP,EM,EM0120,6,3,1
HSP,EM,EM0121,6,3,1
HSP,EM,EM0122,6,3,1
HSP,EM,EM0123,6,3,1
HSP,EM,EM0124,6,3,1
HSP,EM,EM0125,6,3,1
HSP,EM,EM0126,6,3,1
HSP,EM,EM0127,6,3,1
HSP,EM,EM0128,6,3,1
HSP,EM,EM0129,6,3,1
HSP,EM,EM0130,6,3,1
HSP,EM,EM0131,6,3,1
HSP,EM,EM0132,6,3,1
HSP,EM,EM0133,6,3,1
HSP,EM,EM0134,6,3,1
HSP,EM,EM0135,6,3,1
HSP,EM,EM0136,6,3,1
HSP,EM,EM0137,6,3,1
HSP,EM,EM0138,6,3,1
HSP,EM,EM0139,6,3,1
HSP,EM,EM0140,6,3,1
HSP,EM,EM0141,6,3,1
HSP,EM,EM0142,6,3,1
HSP,EM,EM0143,6,3,1
HSP,EM,EM0144,6,3,1
HSP,EM,EM0145,6,3,1
HSP,EM,EM0146,6,3,1
HSP,EM,EM0147,6,3,1
HSP,EM,EM0148,6,3,1
HSP,EM,EM0149,6,3,1
HSP,EM,EM0150,6,3,1
HSP,EM,EM0151,6,3,1
HSP,EM,EM0152,6,3,1
HSP,EM,EM0153,6,3,1
HSP,EM,EM0154,6,3,1
HSP,EM,EM0155,6,3,1
HSP,EM,EM0156,6,3,1
HSP,EM,EM0157,6,3,1
HSP,EM,EM0158,6,3,1
HSP,EM,EM0159,6,3,1
HSP,EM,EM0160,6,3,1
HSP,EM,EM0161,6,3,1
HSP,EM,EM0162,6,3,1
HSP,EM,EM0163,6,3,1
HSP,EM,EM0164,6,3,1
HSP,EM,EM0165,6,3,1
HSP,EM,EM0166,6,3,1
HSP,EM,EM0167,6,3,1
HSP,EM,EM0168,6,3,1
HSP,EM,EM0169,6,3,1
HSP,EM,EM0170,6,3,1
HSP,EM,EM0171,6,3,1
HSP,EM,EM0172,6,3,1
HSP,EM,EM0173,6,3,1
HSP,EM,EM0174,6,3,1
HSP,EM,EM0175,6,3,1
HSP,EM,EM0176,6,3,1
HSP,EM,EM0177,6,3,1
HSP,EM,EM0178,6,3,1
HSP,EM,EM0179,6,3,1
HSP,EM,EM0180,6,3,1
HSP,EM,EM0181,6,3,1
HSP,EM,EM0182,6,3,1
HSP,EM,EM0183,6,3,1
HSP,EM,EM0184,6,3,1
HSP,EM,EM0185,6,3,1
HSP,EM,EM0186,6,3,1
HSP,EM,EM0187,6,3,1
HSP,EM,EM0188,6,3,1
HSP,EM,EM0189,6,3,1
HSP,EM,EM0190,6,3,1
HSP,EM,EM0191,6,3,1
HSP,EM,EM0192,6,3,1
HSP,EM,EM0193,6,3,1
HSP,EM,EM0194,6,3,1
HSP,EM,EM0195,6,3,1
HSP,EM,EM0196,6,3,1
HSP,EM,EM0197,6,3,1
HSP,EM,EM0198,6,3,1
HSP,EM,EM0199,6,3,1
HSP,EM,EM0200,6,3,1
HSP,EM,EM0201,6,3,1
HSP,EM,EM0202,6,3,1
HSP,EM,EM0203,6,3,1
HSP,EM,EM0204,6,3,1
HSP,EM,EM0205,6,3,1
HSP,EM,EM0206,6,3,1
HSP,EM,EM0207,6,3,1
HSP,EM,EM0208,6,3,1
HSP,EM,EM0209,6,3,1
HSP,EM,EM0210,6,3,1
HSP,EM,EM0211,6,3,1
HSP,EM,EM0212,6,3,1
HSP,EM,EM0213,6,3,1
HSP,EM,EM0214,6,3,1
HSP,EM,EM0215,6,3,1
HSP,EM,EM0216,6,3,1
HSP,EM,EM0217,6,3,1
HSP,EM,EM0218,6,3,1
HSP,EM,EM0219,6,3,1
HSP,EM,EM0220,6,3,1
HSP,EM,EM0221,6,3,1
HSP,EM,EM0222,6,3,1
HSP,EM,EM0223,6,3,1
HSP,EM,EM0224,6,3,1
HSP,EM,EM0225,6,3,1
HSP,EM,EM0226,6,3,1
HSP,EM,EM0227,6,3,1
HSP,EM,EM0228,6,3,1
HSP,EM,EM0229,6,3,1
HSP,EM,EM0230,6,3,1
HSP,EM,EM0231,6,3,1
HSP,EM,EM0232,6,3,1
HSP,EM,EM0233,6,3,1
HSP,EM,EM0234,6,3,1
HSP,EM,EM0235,6,3,1
HSP,EM,EM0236,6,3,1
HSP,EM,EM0237,6,3,1
HSP,EM,EM0238,6,3,1
HSP,EM,EM0239,6,3,1
HSP,EM,EM0240,6,3,1
HSP,EM,EM0241,6,3,1
HSP,EM,EM0242,6,3,1
HSP,EM,EM0243,6,3,1
HSP,EM,EM0244,6,3,1
HSP,EM,EM0245,6,3,1
HSP,EM,EM0246,6,3,1
HSP,EM,EM0247,6,3,1
HSP,EM,EM0248,6,3,1
HSP,EM,EM0249,6,3,1
HSP,EM,EM0250,6,3,1
HSP,EM,EM0251,6,3,1
HSP,EM,EM0252,6,3,1
HSP,EM,EM0253,6,3,1
HSP,EM,EM0254,6,3,1
HSP,EM,EM0255,6,3,1
HSP,EM,EM0256,6,3,1
HSP,EM,EM0257,6,3,1
HSP,EM,EM0258,6,3,1
HSP,EM,EM0259,6,3,1
HSP,EM,EM0260,6,3,1
HSP,EM,EM0261,6,3,1
HSP,EM,EM0262,6,3,1
HSP,EM,EM0263,6,3,1
HSP,EM,EM0264,6,3,1
HSP,EM,EM0265,6,3,1
HSP,EM,EM0266,6,3,1
HSP,EM,EM0267,6,3,1
HSP,EM,EM0268,6,3,1
HSP,EM,EM0269,6,3,1
HSP,EM,EM0270,6,3,1
HSP,EM,EM0271,6,3,1
HSP,EM,EM0272,6,3,1
HSP,EM,EM0273,6,3,1
HSP,EM,EM0274,6,3,1
HSP,EM,EM0275,6,3,1
HSP,EM,EM0276,6,3,1
HSP,EM,EM0277,6,3,1
HSP,EM,EM0278,6,3,1
HSP,EM,EM0279,6,3,1
HSP,EM,EM0280,6,3,1
HSP,EM,EM0281,6,3,1
HSP,EM,EM0282,6,3,1
HSP,EM,EM0283,6,3,1
HSP,EM,EM0284,6,3,1
HSP,EM,EM0285,6,3,1
HSP,EM,EM0286,6,3,1
HSP,EM,EM0287,6,3,1
HSP,EM,EM0288,6,3,1
HSP,EM,EM0289,6,3,1
HSP,EM,EM0290,6,3,1
HSP,EM,EM0291,6,3,1
HSP,EM,EM0292,6,3,1
HSP,EM,EM0293,6,3,1
HSP,EM,EM0294,6,3,1
HSP,EM,EM0295,6,3,1
HSP,EM,EM0296,6,3,1
HSP,EM,EM0297,6,3,1
HSP,EM,EM0298,6,3,1
HSP,EM,EM0299,6,3,1
HSP,EM,EM0300,6,3,1
HSP,EM,EM0301,6,3,1
HSP,EM,EM0302,6,3,1
HSP,EM,EM0303,6,3,1
HSP,EM,EM0304,6,3,1
HSP,EM,EM0305,6,3,1
HSP,EM,EM0306,6,3,1
HSP,EM,EM0307,6,3,1
HSP,EM,EM0308,6,3,1
HSP,EM,EM0309,6,3,1
HSP,EM,EM0310,6,3,1
HSP,EM,EM0311,6,3,1
HSP,EM,EM0312,6,3,1
HSP,EM,EM0313,6,3,1
HSP,EM,EM0314,6,3,1
HSP,EM,EM0315,6,3,1
HSP,EM,EM0316,6,3,1
HSP,EM,EM0317,6,3,1
HSP,EM,EM0318,6,3,1
HSP,EM,EM0319,6,3,1
HSP,EM,EM0320,6,3,1
HSP,EM,EM0321,6,3,1
